PomBaseID	Gene_name	Product_description	UniprotID
SPAC222.18		Srp1 family splicing factor	C6Y4C0
SPAC1565.05	utp8	t-UTP complex subunit Utp8	Q9P3A9
SPBC2D10.13	est1	telomerase regulator Est1	O74804
SPBC29A3.14c	trt1	telomerase reverse transcriptase 1 protein Trt1	O13339
SPAC19D5.03	cid1	terminal uridylyltransferase Cid1	O13833
SPAC1D4.14	tho2	THO complex subunit Tho2	Q09779
SPBC106.12c	tho4	THO complex subunit Tho4	Q9URV0
SPBC19G7.10c	pdc2	topoisomerase II-associated deadenylation-dependent mRNA-decapping factor Pdc2	O42958
SPAC6F12.16c	mtr4	TRAMP complex ATP-dependent RNA helicase subunit Mtr4	O14232
SPBP35G2.08c	air1	TRAMP complex zinc knuckle subunit Air1	Q9P795
SPAC144.09c	sfc2	transcription factor TFIIIA	Q9UTL5
SPBC336.10c	tif512	translation elongation and termination factor eIF5A	Q9UST4
SPAC26H5.10c	tif51	translation elongation and termination factor eIF5A	P56289
SPBC18H10.04c	sce3	translation initiation factor	O14369
SPBC23G7.05	sui1	translation initiation factor eIF1	P79060
SPBC25H2.07	tif11	translation initiation factor eIF1A	P55877
SPBC146.08c	tif1102	translation initiation factor eIF1A-like	Q9Y803
SPAC3G9.09c	tif211	translation initiation factor eIF2 alpha subunit	P56286
SPAC32A11.04c	tif212	translation initiation factor eIF2 beta subunit	P56329
SPBC17G9.09	tif213	translation initiation factor eIF2 gamma subunit	Q09130
SPBC17D11.05	tif301	translation initiation factor eIF3a	O74760
SPAC25G10.08	tif302	translation initiation factor eIF3b (p84)	Q10425
SPAC4A8.16c	tif303	translation initiation factor eIF3c	O14164
SPBC18H10.03	tif307	translation initiation factor eIF3g	P78795
SPAC4D7.05	sum1	translation initiation factor eIF3i	P79083
SPAC3A12.13c	tif310	translation initiation factor eIF3j (p35)	P87128
SPBC1709.18	tif452	"translation initiation factor eIF4E, 4F complex E subunit isoform 2, stress response factor"	O74743
SPAC16E8.15	tif45	"translation initiation factor eIF4E, 4F complex subunit"	P78954
SPAC17C9.03	tif471	translation initiation factor eIF4G	Q10475
SPBC800.09	sum2	translation initiation inhibitor	Q9HGL3
SPCC1795.11	sum3	translation initiation RNA helicase Sum3	O13370
SPBC16C6.05	tma22	translation machinery associated protein ortholog Tma22	O42929
SPAC13D6.02c	byr3	"translational activator, zf-CCHC type zinc finger protein"	P36627
SPAC30.03c	tsn1	translin	Q9P7V3
SPCC736.09c	tfx1	TRAX	O74955
SPAC17G6.14c	uap56	"TREX complex subunit, ATP-dependent RNA helicase Uap56"	O13792
SPBC1105.07c	pci2	TREX/TREX2 complex subunit Pci2	Q9Y820
SPBC29A10.09c	tri1	"triman, ribonuclease involved in priRNA formation Tri1"	O94386
SPAC23C4.17	trm402	tRNA (cytosine-5-)-methyltransferase	O13935
SPAC17D4.04	trm401	tRNA (cytosine-5-)-methyltransferase	Q9HGQ2
SPBC19C2.02	pmt1	tRNA (cytosine-5-)-methyltransferase Pmt1	P40999
SPBC16D10.02	trm11	tRNA (guanine-N2-)-methyltransferase catalytic subunit Trm11	O94636
SPCPB16A4.04c	trm8	tRNA (guanine-N7-)-methyltransferase catalytic subunit Trm8	Q96WV1
SPBC1306.02	trm734	tRNA (guanosine 34-2'-O)-methyltransferase regulator Trm734	Q9USZ0
SPBC800.08	gcd10	tRNA (m1A) methyltransferase non-catalytic subunit Gcd10	Q9HGL4
SPBC25H2.10c	tan1	tRNA acetyltransferase Tan1	P87151
SPAC57A10.10c	sla1	"tRNA chaperone, La protein, Sla1"	P87058
SPBC887.11	pus2	tRNA pseudouridine synthase Pus2	O94295
SPCC16C4.06c	pus3	tRNA pseudouridine synthase Pus3	O74451
SPBC11C11.10	pus4	tRNA pseudouridine synthase Pus4	O59721
SPAC18B11.02c	pus9	tRNA pseudouridine synthase Pus9	Q09709
SPBC16A3.06	tad1	tRNA specific adenosine-37 deaminase Tad1	O42912
SPAC25B8.05	deg1	tRNA-pseudouridine synthase Deg1	Q9UTB3
SPBC1A4.09	pus7	tRNA/snRNA/rRNA pseudouridine synthase Pus7	O74343
SPCC126.03	pus1	tRNA/U2 snRNA pseudouridine synthase Lsp1	O94396
SPCC645.08c	snd1	"tudor domain and nuclease, Snd1"	Q9Y7U7
SPCC16A11.13	luc7	U1 snRNP-associated protein Luc7	Q9USM4
SPAC19A8.13	usp101	U1 snRNP-associated protein Usp101	O13829
SPBC4B4.07c	usp102	U1 snRNP-associated protein Usp102	O74968
SPBP35G2.09	usp103	U1 snRNP-associated protein Usp103	Q9P794
SPAC4D7.13	usp104	U1 snRNP-associated protein Usp104	O14176
SPBC4B4.09	usp105	U1 snRNP-associated protein Usp105	O74970
SPBC839.10	usp107	U1 snRNP-associated protein Usp107	Q8WZK0
SPAC23D3.08	usp108	U1 snRNP-associated protein Usp108	Q09848
SPBC1289.12	usp109	U1 snRNP-associated protein Usp109	O94621
SPAP8A3.06	uaf2	"U2 small nuclear RNA auxiliary factor small subunit, U2AF-23"	Q09176
SPBC146.07	prp2	"U2 small nuclear RNA auxiliary factor small subunit, U2AF-59"	P36629
SPBC1861.08c	lea1	U2 snRNP-associated protein Lea1	Q9USX8
SPBC8D2.09c	msl1	U2 snRNP-associated protein Msl1	Q7LL14
SPAC22A12.09c	sap114	U2 snRNP-associated protein Sap114	O13900
SPAC22F8.10c	sap145	U2 snRNP-associated protein Sap145	Q9UUI3
SPBC36.09	sap61	U2 snRNP-associated protein sap61	O59706
SPBC21C3.05	sap62	U2 snRNP-associated protein Sap62	Q9P7L8
SPAC27F1.09c	prp10	U2 snRNP-associated protein SF3B1	Q10178
SPBC29A3.07c	sap14	U2 snRNP-associated protein SF3B14 Sap14	O59670
SPBC1289.02c	uap2	U2 snRNP-associated protein Uap2	O43120
SPAPJ698.03c	prp12	"U2 snRNP-associated protein, WD repeat protein Sap130"	Q9UTT2
SPAC31G5.01	sap49	U2 snRNP-associated RNA-binding protein Sap49	O14102
SPBC11C11.01		U2-associated protein	Q10200
SPBC18H10.07	wbp4	U2-type precatalytic spliceosome WW domain-binding protein Wbp4	O60138
SPBC646.02	cwf11	U2-type spliceosomal complex ATPase Cwf11	O94508
SPCC1827.01c	utp25	U3 associated protein Utp25	O74974
SPBC3D6.12	dip2	U3 snoRNA associated protein Dip2	P87177
SPBC28E12.05	esf2	U3 snoRNP-associated protein Esf2	O74362
SPAC19D5.05c	imp3	U3 snoRNP-associated protein Imp3	O13835
SPAC19A8.07c	imp4	U3 snoRNP-associated protein Imp4	O13823
SPAC18B11.06	lcp5	U3 snoRNP-associated protein Lcp5	Q09713
SPBC3F6.04c	nop14	U3 snoRNP-associated protein Nop14	O43051
SPBC646.10c	nop56	U3 snoRNP-associated protein Nop56	O94514
SPAC23G3.06	nop58	U3 snoRNP-associated protein Nop58	Q9P7S7
SPCC1183.07	rrp5	U3 snoRNP-associated protein Rrp5	O74835
SPAC2E1P5.05	rrp9	U3 snoRNP-associated protein Rrp9	Q9P7C0
SPAC607.03c	snu13	U3 snoRNP-associated protein Snu13	O74690
SPBC1A4.07c	sof1	U3 snoRNP-associated protein Sof1	O74340
SPBC713.04c	pwp2	U3 snoRNP-associated protein Utp1	Q9C1X1
SPBC23E6.04c	utp10	U3 snoRNP-associated protein Utp10	O60179
SPAC18G6.06	utp11	U3 snoRNP-associated protein Utp11	Q10106
SPCC16A11.02	utp13	U3 snoRNP-associated protein Utp13	Q9USN3
SPAC57A7.06	utp14	U3 snoRNP-associated protein Utp14	P87137
SPBP8B7.10c	utp16	U3 snoRNP-associated protein Utp16	O94259
SPBC56F2.04	utp20	U3 snoRNP-associated protein Utp20	O60055
SPBC3B8.09	utp3	U3 snoRNP-associated protein Utp3	Q1MTS0
SPAC20H4.01	utp5	U3 snoRNP-associated protein Utp5	Q9HE11
SPBC244.02c	utp6	U3 snoRNP-associated protein Utp6	O60188
SPAC959.03c	utp7	U3 snoRNP-associated protein Utp7	Q9P4X3
SPAC1B3.13	nan1	U3 snoRNP-associated WD repeat protein Nan1/Utp17	O13878
SPBC428.19c	utp15	U3 snoRNP-associated WD repeat protein Utp15	O94365
SPBC19F5.02c	utp4	U3 snoRNP-associated WD repeat protein Utp4	O60161
SPCC162.01c	snp27	U4/U6 x U5 tri-snRNP complex subunit	O74418
SPAC227.12	rna4	U4/U6 x U5 tri-snRNP complex WD repeat subunit Rna4	Q9UTC7
SPAC4F8.12c	spp42	U5 snRNP complex subunit Spp42	O14187
SPBC215.12	cwf10	U5 snRNP GTPase subunit Cwf10	O94316
SPCC63.11	prp28	U5 snRNP-associated ATP-dependent RNA helicase Prp28	Q9Y7T7
SPBP8B7.11	nxt3	ubiquitin protease cofactor Nxt3	O94260
SPAC13G7.03	upf3	up-frameshift suppressor 3 family protein	Q10267
SPBC1718.07c	zfs1	"zf-CCCH tandem zinc finger protein, human Tristetraprolin homolog Zfs1, involved in mRNA catabolism"	P47979
SPAC3A12.11c	cwf2	"zf-CCCH type zinc finger protein, Prp19 complex subunit, RNA-binding Cwf2"	P87126
